Id,Character
0,66
1,83
2,72
3,77
4,81
5,72
6,77
7,81
8,19
9,72
10,76
11,76
12,66
13,72
14,83
15,64
16,5
17,72
18,76
19,75
20,77
21,78
22,72
23,64
24,87
25,76
26,68
27,79
28,83
29,72
30,7
31,30
32,72
33,83
34,64
35,66
36,82
37,74
38,64
39,74
40,82
41,72
42,64
43,66
44,76
45,68
46,75
47,72
48,72
49,64
50,82
51,74
52,64
53,93
54,82
55,72
56,72
57,82
58,76
59,97
60,64
61,76
62,82
63,27
64,64
65,72
66,72
67,72
68,97
69,66
70,77
71,74
72,76
73,77
74,79
75,83
76,72
77,64
78,66
79,72
80,72
81,76
82,72
83,77
84,76
85,82
86,68
87,83
88,72
89,83
90,66
91,64
92,97
93,66
94,71
95,72
96,78
97,72
98,66
99,64
100,82
101,87
102,76
103,82
104,74
105,72
106,5
107,72
108,76
109,82
110,68
111,83
112,97
113,83
114,66
115,72
116,75
117,64
118,76
119,83
120,72
121,72
122,27
123,80
124,64
125,80
126,76
127,72
128,97
129,66
130,77
131,5
132,72
133,75
134,77
135,82
136,77
137,79
138,83
139,72
140,74
141,72
142,5
143,79
144,83
145,72
146,97
147,78
148,64
149,76
150,82
151,72
152,83
153,74
154,72
155,66
156,64
157,82
158,66
159,64
160,72
161,76
162,72
163,82
164,74
165,64
166,72
167,79
168,83
169,72
170,74
171,72
172,5
173,72
174,76
175,72
176,66
177,75
178,83
179,66
180,74
181,72
182,78
183,64
184,6
185,75
186,83
187,66
188,71
189,82
190,66
191,71
192,72
193,64
194,87
195,5
196,93
197,64
198,76
199,72
200,78
201,64
202,74
203,82
204,87
205,72
206,76
207,66
208,77
209,67
210,72
211,77
212,81
213,7
214,22
215,83
216,74
217,72
218,72
219,76
220,82
221,68
222,83
223,97
224,83
225,66
226,74
227,76
228,72
229,78
230,72
231,97
232,64
233,82
234,87
235,72
236,72
237,82
238,74
239,72
240,72
241,76
242,64
243,97
244,66
245,72
246,97
247,66
248,77
249,5
250,66
251,54
252,66
253,64
254,72
255,78
256,64
257,66
258,66
259,64
260,66
261,64
262,72
263,76
264,72
265,74
266,64
267,82
268,77
269,74
270,82
271,87
272,72
273,19
274,86
275,77
276,79
277,72
278,75
279,77
280,76
281,77
282,76
283,66
284,71
285,72
286,74
287,72
288,5
289,72
290,76
291,79
292,83
293,68
294,76
295,68
296,74
297,79
298,72
299,66
300,71
301,82
302,72
303,83
304,64
305,87
306,72
307,76
308,72
309,82
310,83
311,72
312,83
313,74
314,64
315,7
316,72
317,76
318,64
319,82
320,72
321,79
322,83
323,72
324,82
325,71
326,72
327,82
328,72
329,66
330,78
331,64
332,66
333,64
334,72
335,83
336,82
337,74
338,5
339,86
340,77
341,64
342,76
343,79
344,83
345,72
346,82
347,68
348,74
349,66
350,71
351,72
352,83
353,64
354,87
355,72
356,76
357,72
358,97
359,72
360,68
361,66
362,74
363,66
364,71
365,72
366,83
367,82
368,74
369,5
370,86
371,77
372,64
373,76
374,82
375,68
376,83
377,72
378,83
379,82
380,72
381,66
382,64
383,75
384,77
385,6
386,66
387,64
388,74
389,82
390,87
391,64
392,79
393,83
394,64
395,87
396,7
397,75
398,64
399,72
400,82
401,74
402,64
403,82
404,83
405,64
406,78
407,72
408,72
409,64
410,77
411,79
412,72
413,76
414,77
415,85
416,72
417,75
418,72
419,74
420,72
421,5
422,86
423,77
424,64
425,76
426,77
427,79
428,83
429,72
430,66
431,64
432,77
433,64
434,74
435,82
436,72
437,72
438,76
439,82
440,74
441,64
442,77
443,66
444,64
445,76
446,68
447,66
448,71
449,72
450,66
451,71
452,72
453,72
454,83
455,64
456,74
457,74
458,72
459,5
460,71
461,64
462,64
463,77
464,82
465,77
466,77
467,76
468,6
469,79
470,83
471,72
472,74
473,72
474,19
475,64
476,72
477,64
478,78
479,83
480,78
481,83
482,74
483,72
484,74
485,64
486,82
487,74
488,72
489,5
490,86
491,64
492,76
493,77
494,79
495,83
496,72
497,75
498,77
499,75
500,64
501,79
502,83
503,72
504,74
505,72
506,5
507,72
508,72
509,97
510,74
511,64
512,78
513,64
514,66
515,71
516,72
517,83
518,71
519,64
520,72
521,68
522,87
523,5
524,72
525,76
526,82
527,74
528,72
529,74
530,82
531,72
532,66
533,82
534,75
535,64
536,82
537,74
538,30
539,7
540,64
541,81
542,77
543,64
6412,25
6413,68
6414,74
6415,64
6416,81
6417,66
6418,77
6419,76
6420,73
6421,83
6422,70
6423,64
6424,66
6425,72
6426,77
6427,80
6428,76
6429,81
6430,7
6431,64
6432,72
6433,78
6434,64
6435,80
6436,64
6437,64
6438,68
6439,87
6440,72
6441,80
6442,5
6443,86
6444,77
6445,79
6446,83
6447,68
6448,80
6449,80
6450,72
6451,64
6452,74
6453,64
6454,83
6455,68
6456,80
6457,64
6458,76
6459,64
6460,64
6461,77
6462,67
6463,72
6464,87
6465,68
6466,76
6467,68
6468,72
6469,82
6470,68
6471,64
6472,77
6473,76
6474,64
6475,76
6476,72
6477,68
6478,42
6479,77
6480,79
6481,83
6482,68
6483,82
6484,72
6485,72
6486,64
6487,78
6488,83
6489,77
6490,86
6491,77
6492,74
6493,83
6494,83
6495,72
6496,68
6497,80
6498,64
6499,64
6500,75
6501,64
6502,67
6503,77
6504,5
6505,76
6506,72
6507,66
6508,76
6509,68
6510,79
6511,83
6512,72
6513,5
6514,75
6515,64
6516,76
6517,72
6518,82
6519,68
6520,82
6521,74
6522,64
6523,93
6524,77
6525,82
6526,74
6527,64
6528,76
6529,72
6530,7
6531,26
6532,74
6533,70
6534,68
6535,80
6536,83
6537,76
6538,67
6539,72
6540,77
6541,68
6542,76
6543,7
6544,67
6545,72
6546,5
6547,97
6548,68
6549,97
6550,83
6551,78
6552,72
6553,68
6554,68
6555,76
6556,67
6557,77
6558,81
6559,75
6560,64
6561,76
6562,68
6563,80
6564,64
6565,81
6566,7
6567,32
6568,77
6569,78
6570,82
6571,72
6572,75
6573,68
6574,80
6575,77
6576,78
6577,77
6578,80
6579,74
6580,77
6581,81
6582,84
6583,68
6584,80
6585,6
6586,65
6587,64
6588,74
6589,68
6590,81
6591,68
6592,76
6593,74
6594,72
6595,87
6596,82
6597,74
6598,72
6599,5
6600,66
6601,77
6602,80
6603,72
6604,68
6605,97
6606,64
6607,78
6608,80
6609,68
6610,78
6611,77
6612,97
6613,66
6614,72
6615,77
6616,76
6617,5
6618,64
6619,64
6620,76
6621,7
6622,84
6623,7
6624,70
6625,7
6626,86
6627,68
6628,82
6629,68
6630,82
6631,74
6632,64
6633,77
6634,77
6635,82
6636,74
6637,64
6638,74
6639,72
6640,87
6641,78
6642,64
6643,76
6644,7
6645,86
6646,64
6647,68
6648,81
6649,82
6650,72
6651,68
6652,80
6653,78
6654,77
6655,67
6656,68
6657,64
6658,75
6659,64
6660,80
6661,7
6662,32
6663,77
6664,77
6665,97
6666,70
6667,83
6668,76
6669,67
6670,77
6671,78
6672,77
6673,80
6674,66
6675,72
6676,80
6677,66
6678,83
6679,76
6680,6
6681,74
6682,77
6683,66
6684,83
6685,66
6686,72
6687,77
6688,76
6689,66
6690,77
6691,76
6692,68
6693,74
6694,69
6695,83
6696,64
6697,83
6698,80
6699,77
6700,5
6701,86
6702,68
6703,72
6704,76
6705,72
6706,64
6707,76
6708,72
6709,76
6710,6
6711,76
6712,72
6713,82
6714,68
6715,82
6716,74
6717,64
6718,93
6719,77
6720,82
6721,74
6722,64
6723,87
6724,5
6725,86
6726,64
6727,68
6728,81
6729,77
6730,80
6731,64
6732,67
6733,68
6734,64
6735,80
6736,64
6737,80
6738,5
6739,84
6740,68
6741,74
6742,72
6743,76
6744,77
6745,76
6746,68
6747,79
6748,83
6749,72
6750,64
6751,76
6752,83
6753,72
6754,82
6755,68
6756,82
6757,74
6758,64
6759,93
6760,77
6761,82
6762,74
6763,64
6764,87
6765,5
6766,86
6767,64
6768,68
6769,81
6770,74
6771,64
6772,97
6773,64
6774,64
6775,77
6776,76
6777,86
6778,66
6779,77
6780,72
6781,83
6782,76
6783,82
6784,83
6785,80
6786,64
6787,67
6788,68
6789,79
6790,83
6791,68
6792,86
6793,77
6794,64
6795,75
6796,68
6797,7
6798,26
6799,74
6800,70
6801,68
6802,80
6803,83
6804,76
6805,67
6806,72
6807,77
6808,5
6809,68
6810,76
6811,67
6812,77
6813,5
6814,97
6815,66
6816,97
6817,83
6818,78
6819,74
6820,68
6821,82
6822,64
6823,75
6824,65
6825,72
6826,66
6827,68
6828,76
6829,67
6830,77
6831,81
6832,75
6833,64
6834,76
6835,68
6836,80
6837,64
6838,81
6839,7
6840,32
6841,77
6842,78
6843,80
6844,72
6845,80
6846,64
6847,77
6848,78
6849,77
6850,80
6851,74
6852,64
6853,66
6854,77
6855,75
6856,78
6857,77
6858,97
6859,66
6860,72
6861,77
6862,76
6863,67
6864,68
6865,87
6866,77
6867,67
6868,77
6869,81
6870,74
6871,77
6872,81
6873,84
6874,68
6875,80
6876,65
6877,77
6878,81
6879,79
6880,83
6881,68
6882,69
6883,70
6884,76
6885,72
6886,69
6887,66
6888,64
6889,76
6890,79
6891,83
6892,72
6893,68
6894,82
6895,83
6896,67
6897,77
6898,75
6899,77
6900,83
6901,72
6902,76
6903,64
6904,72
6905,54
6906,77
6907,7
6908,84
6909,7
6910,70
6911,7
6912,76
6913,72
6914,82
6915,68
6916,82
6917,74
6918,64
6919,93
6920,77
6921,82
6922,74
6923,64
6924,82
6925,72
6926,66
6927,64
6928,5
6929,68
6930,97
6931,77
6932,86
6933,64
6934,75
6935,64
6936,76
6937,67
6938,77
6939,5
6940,76
6941,72
6942,82
6943,68
6944,6
21527,25
21528,77
21529,66
21530,66
21531,76
21532,64
21533,75
21534,77
21535,78
21536,68
21537,78
21538,68
21539,76
21540,72
21541,74
21542,72
21543,72
21544,76
21545,82
21546,77
21547,82
21548,68
21549,66
21550,83
21551,72
21552,86
21553,77
21554,72
21555,76
21556,79
21557,83
21558,72
21559,76
21560,75
21561,77
21562,66
21563,68
21564,76
21565,6
21566,82
21567,74
21568,64
21569,74
21570,72
21571,74
21572,72
21573,7
21574,90
21575,34
